iteration,interception,interception_cost,blocking,message_status,message_block_cost,total_cost,windtexter,application
218,0.7,0.29,0.7,sucessful,0.29,1.53,Full,private
218,0.2,432.0,0.5,unsuccessful,26.4,458.4,Baseline,commercial
218,0.6,6.0,0.8,sucessful,1.5,7.5,Partial,commercial
218,0.9,0.44,0.7,sucessful,0.57,7.5,Full,commercial
218,0.3,306.0,0.9,sucessful,2.0,308.0,Baseline,government
218,0.8,2.25,0.7,sucessful,2.57,4.82,Partial,government
218,0.8,0.75,0.7,sucessful,0.86,4.82,Full,government
218,0.7,3.43,0.9,sucessful,2.67,6.1,Baseline,millitary
218,0.9,2.67,0.4,unsuccessful,168.0,170.67,Partial,millitary
218,0.7,1.14,0.7,sucessful,1.14,170.67,Full,millitary
219,0.5,13.2,0.5,unsuccessful,13.2,26.4,Baseline,private
219,0.8,0.75,0.7,sucessful,0.86,1.61,Partial,private
219,0.7,0.29,0.8,sucessful,0.25,1.61,Full,private
219,0.2,432.0,0.7,sucessful,1.71,433.71,Baseline,commercial
219,0.7,1.71,0.5,unsuccessful,26.4,28.11,Partial,commercial
219,0.8,0.5,0.7,sucessful,0.57,28.11,Full,commercial
219,0.9,2.0,0.2,unsuccessful,648.0,650.0,Baseline,government
219,0.7,2.57,0.8,sucessful,2.25,4.82,Partial,government
219,0.8,0.75,0.4,unsuccessful,42.0,4.82,Full,government
219,0.4,168.0,0.5,unsuccessful,52.8,220.8,Baseline,millitary
219,0.4,168.0,0.4,unsuccessful,168.0,336.0,Partial,millitary
219,0.9,0.89,0.7,sucessful,1.14,336.0,Full,millitary
220,0.5,13.2,0.9,sucessful,0.67,13.87,Baseline,private
220,0.7,0.86,0.9,sucessful,0.67,1.53,Partial,private
220,0.4,14.0,0.9,sucessful,0.22,1.53,Full,private
220,0.6,6.0,0.9,sucessful,1.33,7.33,Baseline,commercial
220,0.4,84.0,0.7,sucessful,1.71,85.71,Partial,commercial
220,0.4,28.0,0.7,sucessful,0.57,85.71,Full,commercial
220,0.8,2.25,0.6,sucessful,9.0,11.25,Baseline,government
220,0.8,2.25,0.4,unsuccessful,126.0,128.25,Partial,government
220,0.8,0.75,0.7,sucessful,0.86,128.25,Full,government
220,0.7,3.43,0.6,sucessful,12.0,15.43,Baseline,millitary
220,0.9,2.67,0.4,unsuccessful,168.0,170.67,Partial,millitary
220,0.5,17.6,0.5,unsuccessful,17.6,170.67,Full,millitary
221,0.6,3.0,0.6,sucessful,3.0,6.0,Baseline,private
221,0.5,13.2,0.8,sucessful,0.75,13.95,Partial,private
221,0.8,0.25,0.5,unsuccessful,4.4,13.95,Full,private
221,0.7,1.71,0.4,unsuccessful,84.0,85.71,Baseline,commercial
221,0.7,1.71,0.7,sucessful,1.71,3.42,Partial,commercial
221,0.8,0.5,0.8,sucessful,0.5,3.42,Full,commercial
221,0.5,39.6,0.2,unsuccessful,648.0,687.6,Baseline,government
221,0.7,2.57,0.7,sucessful,2.57,5.14,Partial,government
221,0.7,0.86,0.7,sucessful,0.86,5.14,Full,government
221,0.9,2.67,0.3,unsuccessful,408.0,410.67,Baseline,millitary
221,0.9,2.67,0.4,unsuccessful,168.0,170.67,Partial,millitary
221,0.5,17.6,0.9,sucessful,0.89,170.67,Full,millitary
222,0.8,0.75,0.9,sucessful,0.67,1.42,Baseline,private
222,0.4,42.0,0.9,sucessful,0.67,42.67,Partial,private
222,0.7,0.29,0.7,sucessful,0.29,42.67,Full,private
222,0.9,1.33,0.7,sucessful,1.71,3.04,Baseline,commercial
222,0.5,26.4,0.9,sucessful,1.33,27.73,Partial,commercial
222,0.7,0.57,0.9,sucessful,0.44,27.73,Full,commercial
222,0.5,39.6,0.4,unsuccessful,126.0,165.6,Baseline,government
222,0.7,2.57,0.7,sucessful,2.57,5.14,Partial,government
222,0.5,13.2,0.7,sucessful,0.86,5.14,Full,government
222,0.5,52.8,0.4,unsuccessful,168.0,220.8,Baseline,millitary
222,0.8,3.0,0.9,sucessful,2.67,5.67,Partial,millitary
222,0.8,1.0,0.4,unsuccessful,56.0,5.67,Full,millitary
223,0.5,13.2,0.4,unsuccessful,42.0,55.2,Baseline,private
223,0.7,0.86,0.8,sucessful,0.75,1.61,Partial,private
223,0.4,14.0,0.9,sucessful,0.22,1.61,Full,private
223,0.4,84.0,0.9,sucessful,1.33,85.33,Baseline,commercial
223,0.7,1.71,0.7,sucessful,1.71,3.42,Partial,commercial
223,0.7,0.57,0.7,sucessful,0.57,3.42,Full,commercial
223,0.5,39.6,0.8,sucessful,2.25,41.85,Baseline,government
223,0.4,126.0,0.7,sucessful,2.57,128.57,Partial,government
223,0.4,42.0,0.7,sucessful,0.86,128.57,Full,government
223,0.5,52.8,0.4,unsuccessful,168.0,220.8,Baseline,millitary
223,0.7,3.43,0.9,sucessful,2.67,6.1,Partial,millitary
223,0.9,0.89,0.7,sucessful,1.14,6.1,Full,millitary
224,0.5,13.2,0.6,sucessful,3.0,16.2,Baseline,private
224,0.9,0.67,0.7,sucessful,0.86,1.53,Partial,private
224,0.4,14.0,0.7,sucessful,0.29,1.53,Full,private
224,0.4,84.0,0.5,unsuccessful,26.4,110.4,Baseline,commercial
224,0.5,26.4,0.9,sucessful,1.33,27.73,Partial,commercial
224,0.7,0.57,0.7,sucessful,0.57,27.73,Full,commercial
224,0.5,39.6,0.9,sucessful,2.0,41.6,Baseline,government
224,0.5,39.6,0.5,unsuccessful,39.6,79.2,Partial,government
224,0.7,0.86,0.7,sucessful,0.86,79.2,Full,government
224,0.5,52.8,0.7,sucessful,3.43,56.23,Baseline,millitary
224,0.4,168.0,0.7,sucessful,3.43,171.43,Partial,millitary
224,0.7,1.14,0.4,unsuccessful,56.0,171.43,Full,millitary
225,0.6,3.0,0.6,sucessful,3.0,6.0,Baseline,private
225,0.7,0.86,0.8,sucessful,0.75,1.61,Partial,private
225,0.7,0.29,0.7,sucessful,0.29,1.61,Full,private
225,0.6,6.0,0.9,sucessful,1.33,7.33,Baseline,commercial
225,0.7,1.71,0.4,unsuccessful,84.0,85.71,Partial,commercial
225,0.5,8.8,0.9,sucessful,0.44,85.71,Full,commercial
225,0.9,2.0,0.9,sucessful,2.0,4.0,Baseline,government
225,0.7,2.57,0.7,sucessful,2.57,5.14,Partial,government
225,0.9,0.67,0.7,sucessful,0.86,5.14,Full,government
225,0.6,12.0,0.3,unsuccessful,408.0,420.0,Baseline,millitary
225,0.9,2.67,0.7,sucessful,3.43,6.1,Partial,millitary
225,0.7,1.14,0.7,sucessful,1.14,6.1,Full,millitary
226,0.8,0.75,0.9,sucessful,0.67,1.42,Baseline,private
226,0.8,0.75,0.8,sucessful,0.75,1.5,Partial,private
226,0.7,0.29,0.5,unsuccessful,4.4,1.5,Full,private
226,0.3,204.0,0.6,sucessful,6.0,210.0,Baseline,commercial
226,0.9,1.33,0.5,unsuccessful,26.4,27.73,Partial,commercial
226,0.7,0.57,0.8,sucessful,0.5,27.73,Full,commercial
226,0.8,2.25,0.8,sucessful,2.25,4.5,Baseline,government
226,0.9,2.0,0.7,sucessful,2.57,4.57,Partial,government
226,0.6,3.0,0.8,sucessful,0.75,4.57,Full,government
226,0.8,3.0,0.7,sucessful,3.43,6.43,Baseline,millitary
226,0.6,12.0,0.9,sucessful,2.67,14.67,Partial,millitary
226,0.5,17.6,0.7,sucessful,1.14,14.67,Full,millitary
227,0.9,0.67,0.7,sucessful,0.86,1.53,Baseline,private
227,0.7,0.86,0.9,sucessful,0.67,1.53,Partial,private
227,0.4,14.0,0.9,sucessful,0.22,1.53,Full,private
227,0.7,1.71,0.4,unsuccessful,84.0,85.71,Baseline,commercial
227,0.8,1.5,0.7,sucessful,1.71,3.21,Partial,commercial
227,0.9,0.44,0.5,unsuccessful,8.8,3.21,Full,commercial
227,0.3,306.0,0.4,unsuccessful,126.0,432.0,Baseline,government
227,0.7,2.57,0.7,sucessful,2.57,5.14,Partial,government
227,0.8,0.75,0.5,unsuccessful,13.2,5.14,Full,government
227,0.5,52.8,0.7,sucessful,3.43,56.23,Baseline,millitary
227,0.5,52.8,0.8,sucessful,3.0,55.8,Partial,millitary
227,0.5,17.6,0.5,unsuccessful,17.6,55.8,Full,millitary
228,0.8,0.75,0.8,sucessful,0.75,1.5,Baseline,private
228,0.7,0.86,0.9,sucessful,0.67,1.53,Partial,private
228,0.8,0.25,0.8,sucessful,0.25,1.53,Full,private
228,0.5,26.4,0.7,sucessful,1.71,28.11,Baseline,commercial
228,0.8,1.5,0.9,sucessful,1.33,2.83,Partial,commercial
228,0.7,0.57,0.8,sucessful,0.5,2.83,Full,commercial
228,0.5,39.6,0.5,unsuccessful,39.6,79.2,Baseline,government
228,0.8,2.25,0.5,unsuccessful,39.6,41.85,Partial,government
228,0.7,0.86,0.5,unsuccessful,13.2,41.85,Full,government
228,0.4,168.0,0.6,sucessful,12.0,180.0,Baseline,millitary
228,0.9,2.67,0.5,unsuccessful,52.8,55.47,Partial,millitary
228,0.5,17.6,0.7,sucessful,1.14,55.47,Full,millitary
229,0.9,0.67,0.4,unsuccessful,42.0,42.67,Baseline,private
229,0.4,42.0,0.4,unsuccessful,42.0,84.0,Partial,private
229,0.4,14.0,0.7,sucessful,0.29,84.0,Full,private
229,0.4,84.0,0.6,sucessful,6.0,90.0,Baseline,commercial
229,0.9,1.33,0.7,sucessful,1.71,3.04,Partial,commercial
229,0.8,0.5,0.7,sucessful,0.57,3.04,Full,commercial
229,0.6,9.0,0.4,unsuccessful,126.0,135.0,Baseline,government
229,0.9,2.0,0.4,unsuccessful,126.0,128.0,Partial,government
229,0.5,13.2,0.7,sucessful,0.86,128.0,Full,government
229,0.7,3.43,0.6,sucessful,12.0,15.43,Baseline,millitary
229,0.8,3.0,0.4,unsuccessful,168.0,171.0,Partial,millitary
229,0.4,56.0,0.6,sucessful,4.0,171.0,Full,millitary
230,0.5,13.2,0.7,sucessful,0.86,14.06,Baseline,private
230,0.7,0.86,0.5,unsuccessful,13.2,14.06,Partial,private
230,0.4,14.0,0.8,sucessful,0.25,14.06,Full,private
230,0.5,26.4,0.9,sucessful,1.33,27.73,Baseline,commercial
230,0.7,1.71,0.8,sucessful,1.5,3.21,Partial,commercial
230,0.5,8.8,0.7,sucessful,0.57,3.21,Full,commercial
230,0.7,2.57,0.6,sucessful,9.0,11.57,Baseline,government
230,0.7,2.57,0.5,unsuccessful,39.6,42.17,Partial,government
230,0.8,0.75,0.8,sucessful,0.75,42.17,Full,government
230,0.6,12.0,0.8,sucessful,3.0,15.0,Baseline,millitary
230,0.9,2.67,0.8,sucessful,3.0,5.67,Partial,millitary
230,0.5,17.6,0.8,sucessful,1.0,5.67,Full,millitary
231,0.2,216.0,0.4,unsuccessful,42.0,258.0,Baseline,private
231,0.8,0.75,0.7,sucessful,0.86,1.61,Partial,private
231,0.4,14.0,0.4,unsuccessful,14.0,1.61,Full,private
231,0.4,84.0,0.8,sucessful,1.5,85.5,Baseline,commercial
231,0.4,84.0,0.8,sucessful,1.5,85.5,Partial,commercial
231,0.5,8.8,0.4,unsuccessful,28.0,85.5,Full,commercial
231,0.6,9.0,0.5,unsuccessful,39.6,48.6,Baseline,government
231,0.5,39.6,0.4,unsuccessful,126.0,165.6,Partial,government
231,0.5,13.2,0.4,unsuccessful,42.0,165.6,Full,government
231,0.7,3.43,0.5,unsuccessful,52.8,56.23,Baseline,millitary
231,0.7,3.43,0.5,unsuccessful,52.8,56.23,Partial,millitary
231,0.8,1.0,0.7,sucessful,1.14,56.23,Full,millitary
232,0.6,3.0,0.3,unsuccessful,102.0,105.0,Baseline,private
232,0.4,42.0,0.7,sucessful,0.86,42.86,Partial,private
232,0.4,14.0,0.7,sucessful,0.29,42.86,Full,private
232,0.3,204.0,0.7,sucessful,1.71,205.71,Baseline,commercial
232,0.7,1.71,0.6,sucessful,6.0,7.71,Partial,commercial
232,0.8,0.5,0.7,sucessful,0.57,7.71,Full,commercial
232,0.9,2.0,0.9,sucessful,2.0,4.0,Baseline,government
232,0.9,2.0,0.8,sucessful,2.25,4.25,Partial,government
232,0.7,0.86,0.4,unsuccessful,42.0,4.25,Full,government
232,0.7,3.43,0.2,unsuccessful,864.0,867.43,Baseline,millitary
232,0.5,52.8,0.4,unsuccessful,168.0,220.8,Partial,millitary
232,0.8,1.0,0.8,sucessful,1.0,220.8,Full,millitary
233,0.4,42.0,0.7,sucessful,0.86,42.86,Baseline,private
233,0.6,3.0,0.9,sucessful,0.67,3.67,Partial,private
233,0.8,0.25,0.5,unsuccessful,4.4,3.67,Full,private
233,0.7,1.71,0.8,sucessful,1.5,3.21,Baseline,commercial
233,0.7,1.71,0.8,sucessful,1.5,3.21,Partial,commercial
233,0.7,0.57,0.4,unsuccessful,28.0,3.21,Full,commercial
233,0.4,126.0,0.6,sucessful,9.0,135.0,Baseline,government
233,0.7,2.57,0.7,sucessful,2.57,5.14,Partial,government
233,0.8,0.75,0.9,sucessful,0.67,5.14,Full,government
233,0.3,408.0,0.3,unsuccessful,408.0,816.0,Baseline,millitary
233,0.5,52.8,0.9,sucessful,2.67,55.47,Partial,millitary
233,0.7,1.14,0.9,sucessful,0.89,55.47,Full,millitary
234,0.7,0.86,0.5,unsuccessful,13.2,14.06,Baseline,private
234,0.9,0.67,0.7,sucessful,0.86,1.53,Partial,private
234,0.6,1.0,0.8,sucessful,0.25,1.53,Full,private
234,0.7,1.71,0.7,sucessful,1.71,3.42,Baseline,commercial
234,0.9,1.33,0.5,unsuccessful,26.4,27.73,Partial,commercial
234,0.4,28.0,0.8,sucessful,0.5,27.73,Full,commercial
234,0.6,9.0,0.6,sucessful,9.0,18.0,Baseline,government
234,0.7,2.57,0.7,sucessful,2.57,5.14,Partial,government
234,0.7,0.86,0.4,unsuccessful,42.0,5.14,Full,government
234,0.5,52.8,0.4,unsuccessful,168.0,220.8,Baseline,millitary
234,0.7,3.43,0.8,sucessful,3.0,6.43,Partial,millitary
234,0.9,0.89,0.4,unsuccessful,56.0,6.43,Full,millitary
235,0.3,102.0,0.5,unsuccessful,13.2,115.2,Baseline,private
235,0.5,13.2,0.7,sucessful,0.86,14.06,Partial,private
235,0.9,0.22,0.6,sucessful,1.0,14.06,Full,private
235,0.5,26.4,0.4,unsuccessful,84.0,110.4,Baseline,commercial
235,0.4,84.0,0.7,sucessful,1.71,85.71,Partial,commercial
235,0.7,0.57,0.7,sucessful,0.57,85.71,Full,commercial
235,0.6,9.0,0.9,sucessful,2.0,11.0,Baseline,government
235,0.6,9.0,0.4,unsuccessful,126.0,135.0,Partial,government
235,0.5,13.2,0.8,sucessful,0.75,135.0,Full,government
235,0.7,3.43,0.7,sucessful,3.43,6.86,Baseline,millitary
235,0.8,3.0,0.8,sucessful,3.0,6.0,Partial,millitary
235,0.9,0.89,0.5,unsuccessful,17.6,6.0,Full,millitary
236,0.7,0.86,0.6,sucessful,3.0,3.86,Baseline,private
236,0.7,0.86,0.7,sucessful,0.86,1.72,Partial,private
236,0.9,0.22,0.9,sucessful,0.22,1.72,Full,private
236,0.9,1.33,0.7,sucessful,1.71,3.04,Baseline,commercial
236,0.9,1.33,0.9,sucessful,1.33,2.66,Partial,commercial
236,0.4,28.0,0.8,sucessful,0.5,2.66,Full,commercial
236,0.6,9.0,0.5,unsuccessful,39.6,48.6,Baseline,government
236,0.8,2.25,0.8,sucessful,2.25,4.5,Partial,government
236,0.5,13.2,0.4,unsuccessful,42.0,4.5,Full,government
236,0.5,52.8,0.4,unsuccessful,168.0,220.8,Baseline,millitary
236,0.9,2.67,0.8,sucessful,3.0,5.67,Partial,millitary
236,0.9,0.89,0.5,unsuccessful,17.6,5.67,Full,millitary
237,0.6,3.0,0.7,sucessful,0.86,3.86,Baseline,private
237,0.7,0.86,0.4,unsuccessful,42.0,42.86,Partial,private
237,0.7,0.29,0.8,sucessful,0.25,42.86,Full,private
237,0.9,1.33,0.9,sucessful,1.33,2.66,Baseline,commercial
237,0.5,26.4,0.9,sucessful,1.33,27.73,Partial,commercial
237,0.4,28.0,0.9,sucessful,0.44,27.73,Full,commercial
237,0.7,2.57,0.3,unsuccessful,306.0,308.57,Baseline,government
237,0.7,2.57,0.7,sucessful,2.57,5.14,Partial,government
237,0.4,42.0,0.4,unsuccessful,42.0,5.14,Full,government
237,0.5,52.8,0.3,unsuccessful,408.0,460.8,Baseline,millitary
237,0.7,3.43,0.7,sucessful,3.43,6.86,Partial,millitary
237,0.4,56.0,0.8,sucessful,1.0,6.86,Full,millitary
238,0.6,3.0,0.5,unsuccessful,13.2,16.2,Baseline,private
238,0.7,0.86,0.4,unsuccessful,42.0,42.86,Partial,private
238,0.6,1.0,0.7,sucessful,0.29,42.86,Full,private
238,0.6,6.0,0.9,sucessful,1.33,7.33,Baseline,commercial
238,0.7,1.71,0.4,unsuccessful,84.0,85.71,Partial,commercial
238,0.4,28.0,0.7,sucessful,0.57,85.71,Full,commercial
238,0.4,126.0,0.9,sucessful,2.0,128.0,Baseline,government
238,0.5,39.6,0.5,unsuccessful,39.6,79.2,Partial,government
238,0.9,0.67,0.7,sucessful,0.86,79.2,Full,government
238,0.7,3.43,0.7,sucessful,3.43,6.86,Baseline,millitary
238,0.4,168.0,0.4,unsuccessful,168.0,336.0,Partial,millitary
238,0.8,1.0,0.8,sucessful,1.0,336.0,Full,millitary
239,0.5,13.2,0.2,unsuccessful,216.0,229.2,Baseline,private
239,0.4,42.0,0.8,sucessful,0.75,42.75,Partial,private
239,0.5,4.4,0.8,sucessful,0.25,42.75,Full,private
239,0.5,26.4,0.3,unsuccessful,204.0,230.4,Baseline,commercial
239,0.7,1.71,0.4,unsuccessful,84.0,85.71,Partial,commercial
239,0.4,28.0,0.6,sucessful,2.0,85.71,Full,commercial
239,0.7,2.57,0.8,sucessful,2.25,4.82,Baseline,government
239,0.9,2.0,0.8,sucessful,2.25,4.25,Partial,government
239,0.9,0.67,0.7,sucessful,0.86,4.25,Full,government
239,0.5,52.8,0.9,sucessful,2.67,55.47,Baseline,millitary
239,0.9,2.67,0.7,sucessful,3.43,6.1,Partial,millitary
239,0.7,1.14,0.4,unsuccessful,56.0,6.1,Full,millitary
240,0.7,0.86,0.3,unsuccessful,102.0,102.86,Baseline,private
240,0.9,0.67,0.6,sucessful,3.0,3.67,Partial,private
240,0.6,1.0,0.4,unsuccessful,14.0,3.67,Full,private
240,0.9,1.33,0.5,unsuccessful,26.4,27.73,Baseline,commercial
240,0.9,1.33,0.7,sucessful,1.71,3.04,Partial,commercial
240,0.7,0.57,0.7,sucessful,0.57,3.04,Full,commercial
240,0.9,2.0,0.5,unsuccessful,39.6,41.6,Baseline,government
240,0.7,2.57,0.9,sucessful,2.0,4.57,Partial,government
240,0.7,0.86,0.9,sucessful,0.67,4.57,Full,government
240,0.9,2.67,0.7,sucessful,3.43,6.1,Baseline,millitary
240,0.9,2.67,0.8,sucessful,3.0,5.67,Partial,millitary
240,0.4,56.0,0.7,sucessful,1.14,5.67,Full,millitary
241,0.6,3.0,0.5,unsuccessful,13.2,16.2,Baseline,private
241,0.9,0.67,0.9,sucessful,0.67,1.34,Partial,private
241,0.9,0.22,0.7,sucessful,0.29,1.34,Full,private
241,0.6,6.0,0.5,unsuccessful,26.4,32.4,Baseline,commercial
241,0.4,84.0,0.8,sucessful,1.5,85.5,Partial,commercial
241,0.7,0.57,0.8,sucessful,0.5,85.5,Full,commercial
241,0.8,2.25,0.9,sucessful,2.0,4.25,Baseline,government
241,0.5,39.6,0.7,sucessful,2.57,42.17,Partial,government
241,0.7,0.86,0.4,unsuccessful,42.0,42.17,Full,government
241,0.3,408.0,0.3,unsuccessful,408.0,816.0,Baseline,millitary
241,0.4,168.0,0.9,sucessful,2.67,170.67,Partial,millitary
241,0.8,1.0,0.7,sucessful,1.14,170.67,Full,millitary
242,0.6,3.0,0.4,unsuccessful,42.0,45.0,Baseline,private
242,0.7,0.86,0.7,sucessful,0.86,1.72,Partial,private
242,0.8,0.25,0.5,unsuccessful,4.4,1.72,Full,private
242,0.5,26.4,0.5,unsuccessful,26.4,52.8,Baseline,commercial
242,0.7,1.71,0.6,sucessful,6.0,7.71,Partial,commercial
242,0.6,2.0,0.5,unsuccessful,8.8,7.71,Full,commercial
242,0.6,9.0,0.3,unsuccessful,306.0,315.0,Baseline,government
242,0.9,2.0,0.8,sucessful,2.25,4.25,Partial,government
242,0.8,0.75,0.9,sucessful,0.67,4.25,Full,government
242,0.6,12.0,0.8,sucessful,3.0,15.0,Baseline,millitary
242,0.7,3.43,0.6,sucessful,12.0,15.43,Partial,millitary
242,0.4,56.0,0.8,sucessful,1.0,15.43,Full,millitary
243,0.3,102.0,0.6,sucessful,3.0,105.0,Baseline,private
243,0.7,0.86,0.8,sucessful,0.75,1.61,Partial,private
243,0.7,0.29,0.5,unsuccessful,4.4,1.61,Full,private
243,0.5,26.4,0.6,sucessful,6.0,32.4,Baseline,commercial
243,0.5,26.4,0.8,sucessful,1.5,27.9,Partial,commercial
243,0.9,0.44,0.7,sucessful,0.57,27.9,Full,commercial
243,0.5,39.6,0.8,sucessful,2.25,41.85,Baseline,government
243,0.8,2.25,0.7,sucessful,2.57,4.82,Partial,government
243,0.8,0.75,0.9,sucessful,0.67,4.82,Full,government
243,0.2,864.0,0.5,unsuccessful,52.8,916.8,Baseline,millitary
243,0.7,3.43,0.8,sucessful,3.0,6.43,Partial,millitary
243,0.7,1.14,0.7,sucessful,1.14,6.43,Full,millitary
244,0.7,0.86,0.4,unsuccessful,42.0,42.86,Baseline,private
244,0.7,0.86,0.5,unsuccessful,13.2,14.06,Partial,private
244,0.7,0.29,0.9,sucessful,0.22,14.06,Full,private
244,0.8,1.5,0.3,unsuccessful,204.0,205.5,Baseline,commercial
244,0.4,84.0,0.5,unsuccessful,26.4,110.4,Partial,commercial
244,0.8,0.5,0.5,unsuccessful,8.8,110.4,Full,commercial
244,0.7,2.57,0.6,sucessful,9.0,11.57,Baseline,government
244,0.9,2.0,0.4,unsuccessful,126.0,128.0,Partial,government
244,0.7,0.86,0.4,unsuccessful,42.0,128.0,Full,government
244,0.6,12.0,0.8,sucessful,3.0,15.0,Baseline,millitary
244,0.7,3.43,0.9,sucessful,2.67,6.1,Partial,millitary
244,0.7,1.14,0.7,sucessful,1.14,6.1,Full,millitary
245,0.7,0.86,0.9,sucessful,0.67,1.53,Baseline,private
245,0.7,0.86,0.9,sucessful,0.67,1.53,Partial,private
245,0.4,14.0,0.5,unsuccessful,4.4,1.53,Full,private
245,0.7,1.71,0.8,sucessful,1.5,3.21,Baseline,commercial
245,0.4,84.0,0.5,unsuccessful,26.4,110.4,Partial,commercial
245,0.9,0.44,0.9,sucessful,0.44,110.4,Full,commercial
245,0.4,126.0,0.6,sucessful,9.0,135.0,Baseline,government
245,0.6,9.0,0.4,unsuccessful,126.0,135.0,Partial,government
245,0.4,42.0,0.8,sucessful,0.75,135.0,Full,government
245,0.7,3.43,0.6,sucessful,12.0,15.43,Baseline,millitary
245,0.7,3.43,0.5,unsuccessful,52.8,56.23,Partial,millitary
245,0.7,1.14,0.7,sucessful,1.14,56.23,Full,millitary
246,0.7,0.86,0.4,unsuccessful,42.0,42.86,Baseline,private
246,0.7,0.86,0.8,sucessful,0.75,1.61,Partial,private
246,0.8,0.25,0.9,sucessful,0.22,1.61,Full,private
246,0.5,26.4,0.6,sucessful,6.0,32.4,Baseline,commercial
246,0.9,1.33,0.9,sucessful,1.33,2.66,Partial,commercial
246,0.9,0.44,0.9,sucessful,0.44,2.66,Full,commercial
246,0.2,648.0,0.8,sucessful,2.25,650.25,Baseline,government
246,0.5,39.6,0.8,sucessful,2.25,41.85,Partial,government
246,0.7,0.86,0.7,sucessful,0.86,41.85,Full,government
246,0.6,12.0,0.4,unsuccessful,168.0,180.0,Baseline,millitary
246,0.8,3.0,0.8,sucessful,3.0,6.0,Partial,millitary
246,0.5,17.6,0.7,sucessful,1.14,6.0,Full,millitary
247,0.3,102.0,0.8,sucessful,0.75,102.75,Baseline,private
247,0.4,42.0,0.7,sucessful,0.86,42.86,Partial,private
247,0.4,14.0,0.4,unsuccessful,14.0,42.86,Full,private
247,0.4,84.0,0.3,unsuccessful,204.0,288.0,Baseline,commercial
247,0.8,1.5,0.7,sucessful,1.71,3.21,Partial,commercial
247,0.7,0.57,0.4,unsuccessful,28.0,3.21,Full,commercial
247,0.5,39.6,0.5,unsuccessful,39.6,79.2,Baseline,government
247,0.5,39.6,0.5,unsuccessful,39.6,79.2,Partial,government
247,0.7,0.86,0.4,unsuccessful,42.0,79.2,Full,government
247,0.6,12.0,0.9,sucessful,2.67,14.67,Baseline,millitary
247,0.6,12.0,0.4,unsuccessful,168.0,180.0,Partial,millitary
247,0.7,1.14,0.7,sucessful,1.14,180.0,Full,millitary
248,0.7,0.86,0.7,sucessful,0.86,1.72,Baseline,private
248,0.4,42.0,0.4,unsuccessful,42.0,84.0,Partial,private
248,0.8,0.25,0.5,unsuccessful,4.4,84.0,Full,private
248,0.8,1.5,0.4,unsuccessful,84.0,85.5,Baseline,commercial
248,0.4,84.0,0.7,sucessful,1.71,85.71,Partial,commercial
248,0.8,0.5,0.4,unsuccessful,28.0,85.71,Full,commercial
248,0.5,39.6,0.6,sucessful,9.0,48.6,Baseline,government
248,0.8,2.25,0.9,sucessful,2.0,4.25,Partial,government
248,0.6,3.0,0.9,sucessful,0.67,4.25,Full,government
248,0.2,864.0,0.5,unsuccessful,52.8,916.8,Baseline,millitary
248,0.7,3.43,0.5,unsuccessful,52.8,56.23,Partial,millitary
248,0.8,1.0,0.7,sucessful,1.14,56.23,Full,millitary
249,0.5,13.2,0.9,sucessful,0.67,13.87,Baseline,private
249,0.7,0.86,0.8,sucessful,0.75,1.61,Partial,private
249,0.9,0.22,0.7,sucessful,0.29,1.61,Full,private
249,0.6,6.0,0.3,unsuccessful,204.0,210.0,Baseline,commercial
249,0.5,26.4,0.8,sucessful,1.5,27.9,Partial,commercial
249,0.4,28.0,0.9,sucessful,0.44,27.9,Full,commercial
249,0.5,39.6,0.6,sucessful,9.0,48.6,Baseline,government
249,0.7,2.57,0.8,sucessful,2.25,4.82,Partial,government
249,0.8,0.75,0.7,sucessful,0.86,4.82,Full,government
249,0.5,52.8,0.9,sucessful,2.67,55.47,Baseline,millitary
249,0.7,3.43,0.7,sucessful,3.43,6.86,Partial,millitary
249,0.9,0.89,0.9,sucessful,0.89,6.86,Full,millitary
250,0.8,0.75,0.8,sucessful,0.75,1.5,Baseline,private
250,0.7,0.86,0.5,unsuccessful,13.2,14.06,Partial,private
250,0.9,0.22,0.7,sucessful,0.29,14.06,Full,private
250,0.9,1.33,0.7,sucessful,1.71,3.04,Baseline,commercial
250,0.9,1.33,0.8,sucessful,1.5,2.83,Partial,commercial
250,0.8,0.5,0.9,sucessful,0.44,2.83,Full,commercial
250,0.6,9.0,0.6,sucessful,9.0,18.0,Baseline,government
250,0.4,126.0,0.4,unsuccessful,126.0,252.0,Partial,government
250,0.9,0.67,0.8,sucessful,0.75,252.0,Full,government
250,0.6,12.0,0.6,sucessful,12.0,24.0,Baseline,millitary
250,0.5,52.8,0.4,unsuccessful,168.0,220.8,Partial,millitary
250,0.7,1.14,0.4,unsuccessful,56.0,220.8,Full,millitary
251,0.4,42.0,0.7,sucessful,0.86,42.86,Baseline,private
251,0.8,0.75,0.8,sucessful,0.75,1.5,Partial,private
251,0.5,4.4,0.4,unsuccessful,14.0,1.5,Full,private
251,0.6,6.0,0.2,unsuccessful,432.0,438.0,Baseline,commercial
251,0.5,26.4,0.4,unsuccessful,84.0,110.4,Partial,commercial
251,0.7,0.57,0.8,sucessful,0.5,110.4,Full,commercial
251,0.5,39.6,0.7,sucessful,2.57,42.17,Baseline,government
251,0.9,2.0,0.8,sucessful,2.25,4.25,Partial,government
