cdf,count
0.0008,0.535
0.0057,0.58
0.0456,0.625
0.1563,0.6699999999999999
0.4237,0.715
0.6896,0.76
0.9075,0.8049999999999999
0.9769,0.85
0.9979,0.895
1.0,0.94
