attempts,probability,status,block,decryption_level
185,0.73,intercepted,block,advanced
186,0.7,intercepted,block,advanced
187,0.76,intercepted,block,advanced
188,0.66,intercepted,block,advanced
189,0.79,intercepted,block,advanced
190,0.57,susceptible,attempt,advanced
191,0.7,intercepted,block,advanced
192,0.8,intercepted,block,advanced
193,0.82,intercepted,block,advanced
194,0.76,intercepted,block,advanced
195,0.8,intercepted,block,advanced
196,0.69,intercepted,block,advanced
197,0.81,intercepted,block,advanced
198,0.71,intercepted,block,advanced
199,0.79,intercepted,block,advanced
200,0.67,intercepted,block,advanced
201,0.76,intercepted,block,advanced
202,0.77,intercepted,block,advanced
203,0.73,intercepted,block,advanced
204,0.69,intercepted,block,advanced
205,0.7,intercepted,block,advanced
206,0.76,intercepted,block,advanced
207,0.74,intercepted,block,advanced
208,0.67,intercepted,block,advanced
209,0.64,susceptible,attempt,advanced
210,0.83,intercepted,block,advanced
211,0.79,intercepted,block,advanced
212,0.62,susceptible,attempt,advanced
213,0.78,intercepted,block,advanced
214,0.76,intercepted,block,advanced
215,0.66,intercepted,block,advanced
216,0.72,intercepted,block,advanced
217,0.83,intercepted,block,advanced
218,0.75,intercepted,block,advanced
219,0.76,intercepted,block,advanced
220,0.75,intercepted,block,advanced
221,0.62,susceptible,attempt,advanced
222,0.72,intercepted,block,advanced
223,0.77,intercepted,block,advanced
224,0.67,intercepted,block,advanced
225,0.64,susceptible,attempt,advanced
226,0.69,intercepted,block,advanced
227,0.75,intercepted,block,advanced
228,0.73,intercepted,block,advanced
229,0.67,intercepted,block,advanced
230,0.79,intercepted,block,advanced
231,0.76,intercepted,block,advanced
232,0.8,intercepted,block,advanced
233,0.82,intercepted,block,advanced
234,0.69,intercepted,block,advanced
235,0.73,intercepted,block,advanced
236,0.77,intercepted,block,advanced
237,0.75,intercepted,block,advanced
238,0.75,intercepted,block,advanced
239,0.67,intercepted,block,advanced
240,0.64,susceptible,attempt,advanced
241,0.78,intercepted,block,advanced
242,0.76,intercepted,block,advanced
243,0.65,intercepted,block,advanced
244,0.76,intercepted,block,advanced
245,0.68,intercepted,block,advanced
246,0.79,intercepted,block,advanced
247,0.67,intercepted,block,advanced
248,0.59,susceptible,attempt,advanced
249,0.63,susceptible,attempt,advanced
250,0.62,susceptible,attempt,advanced
