,iteration,message_status,probability,strategy
151,15,successful,0.7,no_windtexter
152,15,unsuccessful,0.5,windtexter_baseline
153,15,successful,0.8,windtexter_baseline
154,15,successful,0.6,windtexter_baseline
155,15,unsuccessful,0.5,windtexter_full
156,15,unsuccessful,0.4,windtexter_full
157,15,successful,0.8,windtexter_full
158,15,successful,0.8,windtexter_full
159,15,unsuccessful,0.3,windtexter_full
160,16,unsuccessful,0.4,no_windtexter
161,16,unsuccessful,0.3,no_windtexter
162,16,successful,0.6,windtexter_baseline
163,16,unsuccessful,0.3,windtexter_baseline
164,16,successful,0.8,windtexter_baseline
165,16,unsuccessful,0.5,windtexter_full
166,16,unsuccessful,0.3,windtexter_full
167,16,unsuccessful,0.4,windtexter_full
168,16,successful,0.7,windtexter_full
169,16,unsuccessful,0.5,windtexter_full
170,17,successful,0.6,no_windtexter
171,17,unsuccessful,0.5,no_windtexter
172,17,unsuccessful,0.4,windtexter_baseline
173,17,unsuccessful,0.2,windtexter_baseline
174,17,unsuccessful,0.3,windtexter_baseline
175,17,unsuccessful,0.3,windtexter_full
176,17,unsuccessful,0.1,windtexter_full
177,17,successful,0.7,windtexter_full
178,17,unsuccessful,0.3,windtexter_full
179,17,unsuccessful,0.5,windtexter_full
180,18,unsuccessful,0.5,no_windtexter
181,18,successful,0.6,no_windtexter
182,18,unsuccessful,0.2,windtexter_baseline
183,18,unsuccessful,0.2,windtexter_baseline
184,18,unsuccessful,0.1,windtexter_baseline
185,18,unsuccessful,0.5,windtexter_full
186,18,successful,0.7,windtexter_full
187,18,successful,0.6,windtexter_full
188,18,successful,0.7,windtexter_full
189,18,unsuccessful,0.2,windtexter_full
190,19,unsuccessful,0.4,no_windtexter
191,19,unsuccessful,0.4,no_windtexter
192,19,successful,0.6,windtexter_baseline
193,19,unsuccessful,0.3,windtexter_baseline
194,19,unsuccessful,0.3,windtexter_baseline
195,19,unsuccessful,0.5,windtexter_full
196,19,unsuccessful,0.5,windtexter_full
197,19,successful,0.6,windtexter_full
198,19,successful,0.7,windtexter_full
199,19,unsuccessful,0.3,windtexter_full
200,20,successful,0.6,no_windtexter
201,20,unsuccessful,0.4,no_windtexter
202,20,unsuccessful,0.4,windtexter_baseline
203,20,unsuccessful,0.4,windtexter_baseline
204,20,unsuccessful,0.3,windtexter_baseline
205,20,unsuccessful,0.3,windtexter_full
206,20,successful,0.6,windtexter_full
207,20,unsuccessful,0.3,windtexter_full
208,20,unsuccessful,0.3,windtexter_full
209,20,unsuccessful,0.5,windtexter_full
210,21,unsuccessful,0.2,no_windtexter
211,21,successful,0.6,no_windtexter
212,21,successful,0.7,windtexter_baseline
213,21,unsuccessful,0.5,windtexter_baseline
214,21,unsuccessful,0.5,windtexter_baseline
215,21,unsuccessful,0.4,windtexter_full
216,21,successful,0.6,windtexter_full
217,21,successful,0.8,windtexter_full
218,21,successful,0.8,windtexter_full
219,21,unsuccessful,0.5,windtexter_full
220,22,successful,0.6,no_windtexter
221,22,unsuccessful,0.2,no_windtexter
222,22,unsuccessful,0.5,windtexter_baseline
223,22,successful,0.6,windtexter_baseline
224,22,unsuccessful,0.1,windtexter_baseline
225,22,successful,0.6,windtexter_full
226,22,successful,0.7,windtexter_full
227,22,unsuccessful,0.5,windtexter_full
228,22,successful,0.6,windtexter_full
229,22,unsuccessful,0.5,windtexter_full
230,23,unsuccessful,0.5,no_windtexter
231,23,successful,0.6,no_windtexter
232,23,successful,0.6,windtexter_baseline
233,23,unsuccessful,0.5,windtexter_baseline
234,23,successful,0.6,windtexter_baseline
235,23,unsuccessful,0.5,windtexter_full
236,23,unsuccessful,0.2,windtexter_full
237,23,successful,0.7,windtexter_full
238,23,successful,0.8,windtexter_full
239,23,unsuccessful,0.5,windtexter_full
240,24,unsuccessful,0.3,no_windtexter
241,24,unsuccessful,0.5,no_windtexter
242,24,unsuccessful,0.3,windtexter_baseline
243,24,unsuccessful,0.4,windtexter_baseline
244,24,successful,0.7,windtexter_baseline
245,24,unsuccessful,0.4,windtexter_full
246,24,unsuccessful,0.4,windtexter_full
247,24,successful,0.6,windtexter_full
248,24,successful,0.8,windtexter_full
249,24,unsuccessful,0.2,windtexter_full
250,25,unsuccessful,0.3,no_windtexter
251,25,successful,0.7,no_windtexter
252,25,unsuccessful,0.3,windtexter_baseline
253,25,unsuccessful,0.4,windtexter_baseline
254,25,successful,0.8,windtexter_baseline
255,25,unsuccessful,0.3,windtexter_full
256,25,successful,0.6,windtexter_full
257,25,successful,0.6,windtexter_full
258,25,unsuccessful,0.3,windtexter_full
259,25,unsuccessful,0.3,windtexter_full
260,26,unsuccessful,0.1,no_windtexter
261,26,unsuccessful,0.4,no_windtexter
262,26,unsuccessful,0.4,windtexter_baseline
263,26,unsuccessful,0.5,windtexter_baseline
264,26,unsuccessful,0.5,windtexter_baseline
265,26,unsuccessful,0.4,windtexter_full
266,26,unsuccessful,0.2,windtexter_full
267,26,unsuccessful,0.4,windtexter_full
268,26,successful,0.6,windtexter_full
269,26,unsuccessful,0.4,windtexter_full
270,27,successful,0.7,no_windtexter
271,27,successful,0.7,no_windtexter
272,27,unsuccessful,0.5,windtexter_baseline
273,27,unsuccessful,0.4,windtexter_baseline
274,27,successful,0.8,windtexter_baseline
275,27,unsuccessful,0.5,windtexter_full
276,27,unsuccessful,0.2,windtexter_full
277,27,unsuccessful,0.5,windtexter_full
278,27,unsuccessful,0.2,windtexter_full
279,27,unsuccessful,0.5,windtexter_full
280,28,unsuccessful,0.3,no_windtexter
281,28,unsuccessful,0.3,no_windtexter
282,28,successful,0.7,windtexter_baseline
283,28,successful,0.8,windtexter_baseline
284,28,successful,0.6,windtexter_baseline
285,28,successful,0.7,windtexter_full
286,28,successful,0.8,windtexter_full
287,28,successful,0.7,windtexter_full
288,28,unsuccessful,0.5,windtexter_full
289,28,successful,0.8,windtexter_full
290,29,unsuccessful,0.4,no_windtexter
291,29,successful,0.8,no_windtexter
292,29,successful,0.6,windtexter_baseline
293,29,successful,0.6,windtexter_baseline
294,29,unsuccessful,0.2,windtexter_baseline
295,29,successful,0.8,windtexter_full
296,29,unsuccessful,0.2,windtexter_full
297,29,unsuccessful,0.3,windtexter_full
298,29,successful,0.6,windtexter_full
299,29,unsuccessful,0.1,windtexter_full
300,30,unsuccessful,0.4,no_windtexter
301,30,successful,0.6,no_windtexter
302,30,successful,0.8,windtexter_baseline
303,30,unsuccessful,0.3,windtexter_baseline
304,30,successful,0.8,windtexter_baseline
